,IAD_W_C,IAD_W_GC,IAD_W_GI,IAD_W_I,IAD_W_X
1959Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1959Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1960Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1960Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1960Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1960Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1961Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1961Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1961Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1961Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1962Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1962Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1962Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1962Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1963Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1963Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1963Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1963Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1964Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1964Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1964Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1964Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1965Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1965Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1965Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1965Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1966Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1966Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1966Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1966Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1967Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1967Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1967Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1967Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1968Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1968Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1968Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1968Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1969Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1969Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1969Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1969Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1970Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1970Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1970Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1970Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1971Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1971Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1971Q3,0.153717,0.091074,0.281430,0.332407,0.141371
1971Q4,0.153717,0.091074,0.281430,0.332407,0.141371
1972Q1,0.153717,0.091074,0.281430,0.332407,0.141371
1972Q2,0.153717,0.091074,0.281430,0.332407,0.141371
1972Q3,0.153717,0.091074,0.281430,0.332407,0.141371
